plant ID;population;status;fertilisation;plot;nLeaves1;LongestLeaf1_Cm;Glucosinolates1_[µmol/ g dry weight];HsGlucosinolates1;nPathogenSpots1;nHerbivores1;HsHerbivores1;LeafHerbivory1_Cons_[mm²];nPredators1;;;
CB_07;06CB;invasive;high;P_07;18;26,3;18,723;1,216;8;37;1,974;5;5;;;
CB_08;06CB;invasive;low;P_08;24;22;38,054;1,188;40;26;1,546;20;10;;;
CB_09;06CB;invasive;high;P_09;39;30,5;39,849;1,145;22;58;1,986;34;12;;;
CB_10;06CB;invasive;low;P_10;36;23,8;89,858;1,065;29;24;1,655;57;6;;;
CB_11;06CB;invasive;high;P_11;14;27,3;55,782;1,115;30;50;1,027;57;5;;;
CB_12;06CB;invasive;low;P_12;27;23,7;50,106;1,412;30;57;1,620;15;16;;;
JE_01;07JE;invasive;high;P_01;33;27,5;NA;NA;72;26;1,774;240;16;;;
JE_02;07JE;invasive;low;P_02;24;21;53,893;0,709;18;28;2,035;202;12;;;
JE_03;07JE;invasive;high;P_03;22;22,9;40,800;1,044;6;24;1,910;52;2;;;
JE_04;07JE;invasive;low;P_04;23;27,2;55,961;1,110;17;28;1,637;32;7;;;
JE_05;07JE;invasive;high;P_05;20;30,6;31,586;0,990;19;34;1,303;32;8;;;
JE_06;07JE;invasive;low;P_06;28;28,5;40,710;1,189;25;25;2,065;11;10;;;
JE_07;07JE;invasive;high;P_07;33;27,6;56,985;1,190;35;32;1,792;19;12;;;
JE_08;07JE;invasive;low;P_08;18;20,4;41,120;0,356;9;25;1,759;10;5;;;
JE_09;07JE;invasive;high;P_09;19;26,5;27,945;1,119;14;29;1,929;27;12;;;
JE_10;07JE;invasive;low;P_10;19;22,8;70,231;1,032;44;19;1,512;14;3;;;
JE_11;07JE;invasive;high;P_11;21;30,7;34,987;0,839;61;30;1,720;25;8;;;
JE_12;07JE;invasive;low;P_12;14;20,6;53,375;1,308;9;22;1,199;37;5;;;
WU_01;08WU;invasive;high;P_01;22;25,1;80,860;1,144;17;10;1,973;2;9;;;
WU_02;08WU;invasive;low;P_02;22;17,1;55,377;1,074;24;18;1,351;155;3;;;
WU_03;08WU;invasive;high;P_03;24;27,3;65,003;1,384;13;24;2,037;122;17;;;
WU_04;08WU;invasive;low;P_04;18;30,8;67,725;0,998;20;38;2,273;58;7;;;
WU_05;08WU;invasive;high;P_05;23;29,5;49,213;1,235;3;36;1,890;23;18;;;
WU_06;08WU;invasive;low;P_06;19;31;23,658;1,435;21;103;1,097;167;24;;;
WU_07;08WU;invasive;high;P_07;26;30,1;35,920;1,263;20;51;1,548;29;17;;;
WU_08;08WU;invasive;low;P_08;28;36,2;47,269;1,392;10;39;1,617;113;15;;;
WU_09;08WU;invasive;high;P_09;23;30;42,977;1,328;15;64;1,708;48;16;;;
WU_10;08WU;invasive;low;P_10;22;32,2;26,851;1,407;25;45;1,555;37;17;;;
WU_11;08WU;invasive;high;P_11;25;31,8;5,084;0,803;39;60;1,735;23;11;;;
WU_12;08WU;invasive;low;P_12;22;31,2;80,658;1,200;36;49;1,736;103;10;;;
DR_01;09DR;naturalised;high;P_01;20;28,3;44,477;0,759;6;32;1,738;161;5;;;
DR_02;09DR;naturalised;low;P_02;19;27,5;31,248;0,836;39;32;2,028;20;9;;;
DR_03;09DR;naturalised;high;P_03;22;23,5;34,199;0,521;18;30;1,865;19;11;;;
DR_04;09DR;naturalised;low;P_04;15;24,6;33,863;0,378;7;40;1,359;25;11;;;
DR_05;09DR;naturalised;high;P_05;20;26,3;23,347;1,182;65;33;1,881;10;5;;;
DR_06;09DR;naturalised;low;P_06;22;26;25,001;1,160;29;48;1,558;99;8;;;
DR_07;09DR;naturalised;high;P_07;26;33,2;16,545;1,130;13;23;1,810;134;22;;;
DR_08;09DR;naturalised;low;P_08;21;23,5;31,107;1,133;7;26;1,797;34;6;;;
DR_09;09DR;naturalised;high;P_09;24;22,3;11,505;0,731;10;25;1,822;25;13;;;
DR_10;09DR;naturalised;low;P_10;21;32,1;65,186;1,203;8;28;1,718;51;10;;;
DR_11;09DR;naturalised;high;P_11;23;27;43,174;0,811;9;42;1,467;10;10;;;
DR_12;09DR;naturalised;low;P_12;25;31,5;42,230;0,689;46;36;1,610;20;10;;;
DI_01;10DI;naturalised;high;P_01;34;23,4;73,195;1,063;33;36;1,561;20;12;;;
DI_02;10DI;naturalised;low;P_02;16;22,3;49,939;0,826;3;38;0,820;8;17;;;
DI_03;10DI;naturalised;high;P_03;18;28;69,832;1,120;17;31;1,638;16;11;;;
DI_04;10DI;naturalised;low;P_04;13;16;34,236;0,791;11;13;1,304;10;14;;;
DI_05;10DI;naturalised;high;P_05;19;30,6;44,552;1,081;9;38;1,433;34;23;;;
DI_06;10DI;naturalised;low;P_06;18;27,6;45,991;1,050;11;78;1,442;19;25;;;
DI_07;10DI;naturalised;high;P_07;24;28,7;34,188;1,124;15;56;1,486;5;34;;;
DI_08;10DI;naturalised;low;P_08;22;26,1;32,680;0,759;23;35;1,084;35;13;;;
DI_09;10DI;naturalised;high;P_09;30;30,7;33,538;0,864;13;72;1,280;52;16;;;
DI_10;10DI;naturalised;low;P_10;14;27,7;35,059;0,993;34;62;1,455;0;25;;;
DI_11;10DI;naturalised;high;P_11;30;34,3;45,974;1,014;15;60;1,488;44;14;;;
DI_12;10DI;naturalised;low;P_12;22;27;45,311;1,009;13;38;1,155;56;33;;;
GO_01;11GO;naturalised;high;P_01;19;30,1;50,349;1,071;41;28;1,968;221;4;;;
GO_02;11GO;naturalised;low;P_02;12;12,4;37,666;0,846;5;7;0,956;2;10;;;
GO_03;11GO;naturalised;high;P_03;21;23,2;22,606;1,038;27;19;2,160;100;7;;;
GO_04;11GO;naturalised;low;P_04;21;30,4;34,748;0,969;32;34;2,354;258;20;;;
GO_05;11GO;naturalised;high;P_05;22;25,6;40,770;1,245;15;44;1,464;210;16;;;
GO_06;11GO;naturalised;low;P_06;25;29;48,840;1,223;44;49;1,652;239;17;;;
GO_07;11GO;naturalised;high;P_07;21;27,8;20,408;1,114;16;47;1,179;19;14;;;
GO_08;11GO;naturalised;low;P_08;28;34,1;27,536;1,211;28;55;1,333;160;8;;;
GO_09;11GO;naturalised;high;P_09;28;25,4;23,484;1,249;26;29;1,789;15;1;;;
GO_10;11GO;naturalised;low;P_10;19;23,2;76,810;1,168;35;21;1,044;42;17;;;
GO_11;11GO;naturalised;high;P_11;26;31;63,335;1,173;28;56;1,365;21;6;;;
GO_12;11GO;naturalised;low;P_12;14;23,5;57,188;1,136;16;46;1,490;37;3;;;
PA_01;12PA;naturalised;high;P_01;17;29,6;54,234;1,103;14;42;1,227;224;9;;;
PA_02;12PA;naturalised;low;P_02;17;22,5;45,896;1,301;24;25;1,622;2;7;;;
PA_03;12PA;naturalised;high;P_03;22;27,1;61,450;1,184;9;36;2,259;272;5;;;
PA_04;12PA;naturalised;low;P_04;11;18,7;24,787;0,278;3;14;1,730;6;10;;;
PA_05;12PA;naturalised;high;P_05;26;22,8;14,733;1,461;6;18;1,725;7;13;;;
PA_06;12PA;naturalised;low;P_06;37;20,1;19,592;1,574;5;12;1,633;4;5;;;
PA_07;12PA;naturalised;high;P_07;22;27,9;36,053;1,536;17;38;1,306;103;18;;;
PA_08;12PA;naturalised;low;P_08;14;24,7;13,736;0,914;9;35;1,179;8;8;;;
PA_09;12PA;naturalised;high;P_09;21;31,1;32,020;1,815;7;60;1,735;52;21;;;
PA_10;12PA;naturalised;low;P_10;17;25,5;22,865;0,556;11;15;1,507;52;2;;;
PA_11;12PA;naturalised;high;P_11;15;26,4;33,727;0,763;49;33;1,085;93;8;;;
PA_12;12PA;naturalised;low;P_12;22;30,8;38,435;0,916;23;49;1,712;590;3;;;
